GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_TotalRounds,Team2_TotalRounds
60859,62172,Breeze,4809,6477,Team Exploit,Fear Legends,1,13,8
60860,62172,Fracture,4809,6477,Team Exploit,Fear Legends,1,13,10
60779,62071,Ascent,6799,6982,Goodfellas Gaming,Nine Esport,1,13,6
60780,62071,Haven,6799,6982,Goodfellas Gaming,Nine Esport,1,13,2
60807,62085,Haven,4150,623,South Built Esports,Sharper Esport,2,6,13
60808,62085,Split,4150,623,South Built Esports,Sharper Esport,1,13,5
60801,62082,Bind,6389,6844,Bren Esports,shiba n the homies,2,9,13
60802,62082,Haven,6389,6844,Bren Esports,shiba n the homies,1,13,11
60789,62076,Ascent,4325,6807,CERBERUS Esports,W Key,1,13,2
60790,62076,Bind,4325,6807,CERBERUS Esports,W Key,1,13,1
60805,62084,Haven,4150,388,South Built Esports,DivisionX Gaming,2,8,13
60806,62084,Bind,4150,388,South Built Esports,DivisionX Gaming,1,13,9
60775,62069,Icebox,466,6799,BOOM Esports,Goodfellas Gaming,1,13,4
60776,62069,Breeze,466,6799,BOOM Esports,Goodfellas Gaming,1,13,5
60687,61811,Breeze,642,6817,Luminosity,ex-FLICKBAITERS,1,13,1
60688,61811,Icebox,642,6817,Luminosity,ex-FLICKBAITERS,2,7,13
60689,61811,Ascent,642,6817,Luminosity,ex-FLICKBAITERS,1,13,3
60681,61809,Icebox,468,642,Renegades,Luminosity,2,5,13
60682,61809,Haven,468,642,Renegades,Luminosity,1,13,7
60683,61809,Bind,468,642,Renegades,Luminosity,2,11,13
60684,61810,Icebox,6817,6198,ex-FLICKBAITERS,Knights Academy,2,12,14
60685,61810,Ascent,6817,6198,ex-FLICKBAITERS,Knights Academy,1,13,11
60686,61810,Breeze,6817,6198,ex-FLICKBAITERS,Knights Academy,1,13,9
60669,61805,Breeze,6164,468,Radiance,Renegades,2,12,14
60670,61805,Fracture,6164,468,Radiance,Renegades,1,15,13
60671,61805,Icebox,6164,468,Radiance,Renegades,2,4,13
60675,61807,Split,6817,4455,ex-FLICKBAITERS,Third Impact,1,13,9
60676,61807,Breeze,6817,4455,ex-FLICKBAITERS,Third Impact,2,11,13
60677,61807,Ascent,6817,4455,ex-FLICKBAITERS,Third Impact,1,13,10
58578,51964,Haven,1470,1471,NASR Esports,Team RA'AD,2,10,13
58579,51964,Ascent,1470,1471,NASR Esports,Team RA'AD,1,13,11
58580,51964,Split,1470,1471,NASR Esports,Team RA'AD,1,13,7
58581,51964,Fracture,1470,1471,NASR Esports,Team RA'AD,1,14,12
60645,61797,Breeze,6164,6856,Radiance,Icarus,1,13,4
60646,61797,Split,6164,6856,Radiance,Icarus,1,13,8
60648,61798,Icebox,3337,468,Team Basilisk,Renegades,1,13,6
60649,61798,Haven,3337,468,Team Basilisk,Renegades,2,4,13
60650,61798,Fracture,3337,468,Team Basilisk,Renegades,2,7,13
60651,61799,Ascent,1615,6045,Knights,Lenny Time,1,13,8
60652,61799,Haven,1615,6045,Knights,Lenny Time,1,13,11
60654,61800,Icebox,642,6020,Luminosity,Pho Real,1,13,2
60655,61800,Breeze,642,6020,Luminosity,Pho Real,1,13,3
60657,61801,Breeze,6817,6707,ex-FLICKBAITERS,Gifted,1,13,6
60658,61801,Haven,6817,6707,ex-FLICKBAITERS,Gifted,1,13,3
60666,61804,Haven,6198,6213,Knights Academy,Cloud9 Academy,1,13,8
60667,61804,Breeze,6198,6213,Knights Academy,Cloud9 Academy,1,13,4
60723,61936,Icebox,642,6707,Luminosity,Gifted,1,13,3
60729,61942,Ascent,1615,6986,Knights,Ex-Dallas Vendetta,1,13,4
60734,61947,Breeze,6817,6020,ex-FLICKBAITERS,Pho Real,1,13,7
60736,61949,Haven,6198,6934,Knights Academy,Minaweebs Money Crew,1,13,10
60709,61922,Bind,6164,6045,Radiance,Lenny Time,1,13,3
60710,61923,Ascent,3337,5444,Team Basilisk,Bait Academy,1,13,5
60718,61931,Ascent,6817,5038,ex-FLICKBAITERS,YFP Gaming,1,13,2
60720,61933,Icebox,6198,4455,Knights Academy,Third Impact,1,13,11
60704,61917,Haven,6198,6848,Knights Academy,Hugh Jass Construction,1,13,0
60592,61407,Breeze,6461,6817,Akrew,ex-FLICKBAITERS,1,13,11
60593,61407,Haven,6461,6817,Akrew,ex-FLICKBAITERS,1,14,12
60595,61408,Haven,6204,2348,Nemesis,VIRTUOSO,2,6,13
60596,61408,Bind,6204,2348,Nemesis,VIRTUOSO,1,13,6
60597,61408,Ascent,6204,2348,Nemesis,VIRTUOSO,1,13,11
60586,61405,Ascent,6461,6204,Akrew,Nemesis,1,13,8
60587,61405,Bind,6461,6204,Akrew,Nemesis,1,13,7
60574,61401,Icebox,6461,6213,Akrew,Cloud9 Academy,1,13,8
60575,61401,Haven,6461,6213,Akrew,Cloud9 Academy,1,13,4
60580,61403,Icebox,6164,2348,Radiance,VIRTUOSO,1,13,7
60581,61403,Bind,6164,2348,Radiance,VIRTUOSO,2,10,13
60582,61403,Split,6164,2348,Radiance,VIRTUOSO,2,8,13
60562,61397,Bind,6164,6651,Radiance,ex-Limit,1,13,2
60563,61397,Fracture,6164,6651,Radiance,ex-Limit,1,13,10
60559,61396,Haven,5832,6204,Zero MarksMen Black,Nemesis,2,12,14
60560,61396,Bind,5832,6204,Zero MarksMen Black,Nemesis,1,13,7
60561,61396,Icebox,5832,6204,Zero MarksMen Black,Nemesis,2,10,13
60553,61394,Breeze,6213,6992,Cloud9 Academy,CLB,1,13,4
60554,61394,Haven,6213,6992,Cloud9 Academy,CLB,1,13,10
60571,61400,Breeze,6817,6451,ex-FLICKBAITERS,Built By Gamers Academy,1,13,11
60572,61400,Icebox,6817,6451,ex-FLICKBAITERS,Built By Gamers Academy,1,13,11
60519,61372,Ascent,6148,6707,Project A,Gifted,1,13,5
60520,61372,Bind,6148,6707,Project A,Gifted,1,13,5
60526,61377,Ascent,2139,4647,303 Esports,CoT,1,13,8
60527,61377,Haven,2139,4647,303 Esports,CoT,2,7,13
60528,61377,Bind,2139,4647,303 Esports,CoT,2,3,13
60505,61362,Icebox,2378,6991,SUPER SQUAD,Rose,1,13,3
60506,61362,Haven,2378,6991,SUPER SQUAD,Rose,1,13,5
60512,61367,Breeze,6990,3748,LFTval,Team Reckaroo,1,13,11
60513,61367,Haven,6990,3748,LFTval,Team Reckaroo,2,14,16
60514,61367,Bind,6990,3748,LFTval,Team Reckaroo,2,7,13
60533,61382,Ascent,6992,6782,CLB,Up Next,1,13,8
60534,61382,Bind,6992,6782,CLB,Up Next,1,13,4
60540,61387,Ascent,6451,6912,Built By Gamers Academy,Bully Hunters,1,13,10
60541,61387,Breeze,6451,6912,Built By Gamers Academy,Bully Hunters,1,13,3
60547,61392,Ascent,6204,6989,Nemesis,Iconic,1,16,14
60548,61392,Breeze,6204,6989,Nemesis,Iconic,1,13,2
60496,61355,Haven,6461,4529,Akrew,IlluZion,1,13,7
60503,61360,Breeze,6164,2378,Radiance,SUPER SQUAD,1,13,7
60504,61361,Haven,6991,6388,Rose,ValorsGG,1,13,11
60517,61370,Haven,5444,6148,Bait Academy,Project A,1,13,10
60524,61375,Split,6213,2139,Cloud9 Academy,303 Esports,1,13,6
60531,61380,Ascent,2348,6992,VIRTUOSO,CLB,1,13,6
60545,61390,Icebox,6817,6204,ex-FLICKBAITERS,Nemesis,1,13,6
60494,61353,Haven,6461,6679,Akrew,Disciples ,1,13,7
60495,61354,Haven,4529,6651,IlluZion,ex-Limit,1,13,3
60502,61359,Bind,2378,6388,SUPER SQUAD,ValorsGG,1,13,6
60515,61368,Breeze,5444,5457,Bait Academy,Valkyrie,1,13,3
60516,61369,Icebox,6148,6707,Project A,Gifted,1,13,9
60522,61373,Icebox,6213,6848,Cloud9 Academy,Hugh Jass Construction,1,13,9
60530,61379,Ascent,6992,6986,CLB,Ex-Dallas Vendetta,1,13,6
