No,GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_Eco,Team1_SemiEco,Team1_SemiBuy,Team1_FullBuy,Team1_TotalRounds,Team2_Eco,Team2_SemiEco,Team2_SemiBuy,Team2_FullBuy,Team2_TotalRounds
14791,2890,1976,Haven,497,496,Attack All Around,ahq e-Sports Club,1,,,,,13,,,,,8
14792,2891,1976,Split,497,496,Attack All Around,ahq e-Sports Club,2,,,,,8,,,,,13
14793,2892,1976,Haven,497,496,Attack All Around,ahq e-Sports Club,2,,,,,8,,,,,13
14794,2929,2000,Bind,617,619,Team SMG,Only One Word,2,,,,,9,,,,,13
14795,2930,2000,Haven,617,619,Team SMG,Only One Word,1,,,,,13,,,,,9
14796,2931,2000,Ascent,617,619,Team SMG,Only One Word,2,,,,,9,,,,,13
14797,2953,2008,Split,425,648,Team oNe,VIMDOLOL,1,3.0,3.0,1.0,17.0,13,2.0,1.0,6.0,15.0,11
14798,2962,2008,Ascent,425,648,Team oNe,VIMDOLOL,2,3.0,2.0,4.0,5.0,1,2.0,0.0,2.0,10.0,13
14799,2963,2008,Haven,425,648,Team oNe,VIMDOLOL,1,3.0,2.0,3.0,15.0,13,3.0,3.0,3.0,14.0,10
14800,2941,2004,Haven,628,595,FunPlus Phoenix,AoeXe,2,3.0,2.0,5.0,7.0,4,3.0,0.0,1.0,13.0,13
14801,2942,2004,Ascent,628,595,FunPlus Phoenix,AoeXe,1,2.0,0.0,4.0,10.0,13,4.0,3.0,2.0,7.0,3
14802,2943,2004,Split,628,595,FunPlus Phoenix,AoeXe,1,3.0,3.0,4.0,18.0,15,3.0,2.0,3.0,20.0,13
14803,2954,2009,Bind,420,523,Team Vikings,Team Tixinha,1,3.0,0.0,2.0,12.0,13,3.0,1.0,4.0,9.0,4
14804,2964,2009,Ascent,420,523,Team Vikings,Team Tixinha,1,2.0,0.0,4.0,14.0,13,3.0,3.0,3.0,11.0,7
14808,2915,1992,Ascent,648,584,VIMDOLOL,Furacão BLACK,1,2.0,2.0,3.0,17.0,13,3.0,3.0,8.0,10.0,11
14809,2935,2002,Bind,110,77,FishkaVTom,DPE,1,2.0,1.0,3.0,14.0,13,4.0,1.0,3.0,12.0,7
14810,2936,2002,Split,110,77,FishkaVTom,DPE,2,3.0,4.0,6.0,3.0,3,2.0,1.0,3.0,10.0,13
14811,2937,2002,Ascent,110,77,FishkaVTom,DPE,2,2.0,3.0,6.0,13.0,11,3.0,2.0,6.0,13.0,13
14812,2932,2001,Haven,88,664,AERIS,MUTANTS,1,2.0,0.0,5.0,12.0,13,6.0,0.0,2.0,11.0,6
14813,2933,2001,Bind,88,664,AERIS,MUTANTS,2,3.0,1.0,2.0,17.0,10,6.0,0.0,2.0,15.0,13
14814,2934,2001,Ascent,88,664,AERIS,MUTANTS,1,2.0,1.0,6.0,11.0,13,4.0,2.0,3.0,11.0,7
14815,2882,1974,Split,617,497,Team SMG,Attack All Around,2,,,,,5,,,,,13
14816,2883,1974,Bind,617,497,Team SMG,Attack All Around,1,,,,,13,,,,,2
14817,2884,1974,Ascent,617,497,Team SMG,Attack All Around,2,,,,,1,,,,,13
14818,2867,1959,Split,466,617,BOOM Esports,Team SMG,2,,,,,11,,,,,13
14819,2868,1959,Ascent,466,617,BOOM Esports,Team SMG,1,,,,,13,,,,,3
14820,2869,1959,Bind,466,617,BOOM Esports,Team SMG,2,,,,,12,,,,,14
14821,2873,1961,Haven,623,619,Sharper Esport,Only One Word,1,,,,,15,,,,,13
14822,2874,1961,Ascent,623,619,Sharper Esport,Only One Word,2,,,,,13,,,,,15
14823,2875,1961,Bind,623,619,Sharper Esport,Only One Word,2,,,,,11,,,,,13
14824,2841,1929,Haven,283,650,Sengoku Gaming,Connect Gaming,1,,,,,13,,,,,7
14825,2840,1928,Ascent,104,183,REJECT,SunSister Rapid,1,,,,,13,,,,,9
14826,2839,1927,Ascent,279,282,Absolute JUPITER,SCARZ,1,,,,,13,,,,,4
14827,2735,1830,Haven,501,624,LEGENDs,Paper Rex,1,,,,,13,,,,,8
14828,2734,1829,Ascent,622,617,ex-Thailand Attitude,Team SMG,1,,,,,13,,,,,7
14829,2728,1823,Haven,619,616,Only One Word,tAfz,1,,,,,13,,,,,10
14834,2722,1817,Split,626,623,ex-Morph Team,Sharper Esport,1,,,,,16,,,,,14
14835,2721,1816,Haven,623,627,Sharper Esport,Team LZ,1,,,,,13,,,,,7
14836,2806,1900,Ascent,510,567,No Mercy,VAC Kimchi,1,,,,,13,,,,,5
14837,2807,1900,Bind,510,567,No Mercy,VAC Kimchi,1,,,,,13,,,,,8
14838,2733,1828,Split,622,501,ex-Thailand Attitude,LEGENDs,1,,,,,13,,,,,10
14839,2727,1822,Bind,618,619,fiVe,Only One Word,1,,,,,13,,,,,8
14840,2803,1899,Ascent,198,509,DRX Vision Strikers,FA,1,,,,,13,,,,,5
14841,2804,1899,Split,198,509,DRX Vision Strikers,FA,1,,,,,13,,,,,7
14842,2731,1826,Bind,617,501,Team SMG,LEGENDs,1,,,,,13,,,,,10
14843,2724,1819,Haven,619,620,Only One Word,Superdomineering,1,,,,,13,,,,,10
14844,2720,1815,Split,623,496,Sharper Esport,ahq e-Sports Club,1,,,,,13,,,,,6
14845,2713,1808,TBD,625,497,MOTV,Attack All Around,2,,,,,0,,,,,0
14846,2714,1809,Haven,497,466,Attack All Around,BOOM Esports,1,,,,,13,,,,,11
14847,2712,1807,Haven,625,621,MOTV,KILOISDEAD,2,,,,,0,,,,,0
14848,2745,1840,Ascent,419,455,TERROR.NET,Question Mark,1,,,,,13,,,,,10
14849,2799,1897,Bind,106,188,TSM,Cloud9,1,2.0,2.0,3.0,12.0,13,4.0,1.0,2.0,12.0,6
14850,2747,1842,Bind,526,249,FAKEZIN,Falkol eSports,1,,,,,13,,,,,11
14851,2795,1892,Haven,17,106,Gen.G,TSM,1,3.0,1.0,5.0,14.0,13,3.0,2.0,6.0,12.0,10
14853,2792,1888,Split,106,103,TSM,Immortals,1,2.0,0.0,5.0,11.0,13,4.0,3.0,2.0,9.0,5
14854,2659,1753,Ascent,257,628,G2 Esports,FunPlus Phoenix,1,2.0,0.0,4.0,12.0,13,4.0,1.0,2.0,11.0,5
14855,2660,1753,Bind,257,628,G2 Esports,FunPlus Phoenix,1,3.0,0.0,8.0,11.0,13,3.0,1.0,4.0,14.0,9
14856,2788,1884,Split,106,468,TSM,Renegades,1,3.0,0.0,2.0,13.0,13,2.0,5.0,3.0,8.0,5
14857,2790,1886,Ascent,17,470,Gen.G,Complexity,1,2.0,2.0,5.0,13.0,13,4.0,1.0,2.0,15.0,9
14858,2779,1873,Ascent,106,483,TSM,Morning Light,1,4.0,1.0,0.0,14.0,13,4.0,2.0,6.0,7.0,6
14859,2780,1874,Bind,485,637,Homeless,Rise,1,2.0,1.0,3.0,13.0,13,4.0,2.0,4.0,9.0,6
14860,2781,1875,Ascent,103,423,Immortals,Mamba Mode Gaming,1,4.0,3.0,2.0,19.0,15,2.0,2.0,5.0,19.0,13
14861,2773,1867,Ascent,427,103,Envy,Immortals,1,2.0,3.0,3.0,13.0,13,4.0,2.0,1.0,14.0,8
14864,2777,1871,Ascent,188,302,Cloud9,Spot Up,1,2.0,1.0,3.0,14.0,13,4.0,2.0,5.0,9.0,7
14866,2768,1862,Haven,17,14,Gen.G,T1,1,3.0,3.0,4.0,14.0,13,3.0,2.0,4.0,15.0,11
14867,2770,1864,Haven,188,642,Cloud9,Luminosity,1,3.0,0.0,1.0,16.0,13,3.0,2.0,4.0,11.0,7
14868,2654,1748,Bind,474,3,Team Liquid,Ninjas in Pyjamas,1,2.0,2.0,2.0,14.0,13,4.0,0.0,5.0,11.0,7
14869,2760,1853,Bind,279,104,Absolute JUPITER,REJECT,2,,,,,5,,,,,13
14870,2761,1853,Haven,279,104,Absolute JUPITER,REJECT,1,,,,,15,,,,,13
14871,2762,1853,Split,279,104,Absolute JUPITER,REJECT,1,,,,,13,,,,,0
14872,2756,1847,Split,104,204,REJECT,CYCLOPS athlete gaming,1,,,,,13,,,,,9
14873,2757,1847,Ascent,104,204,REJECT,CYCLOPS athlete gaming,1,,,,,13,,,,,3
14874,2710,1805,Haven,249,590,Falkol eSports,Fox Wizards,1,,,,,13,,,,,0
14875,2704,1799,Bind,581,417,Liberty ,Black Dragons,1,,,,,13,,,,,5
14876,2652,1747,Ascent,257,474,G2 Esports,Team Liquid,1,2.0,0.0,7.0,8.0,13,2.0,4.0,3.0,8.0,4
14877,2653,1747,Haven,257,474,G2 Esports,Team Liquid,2,4.0,1.0,3.0,13.0,8,2.0,1.0,5.0,13.0,13
14878,2650,1746,Ascent,3,628,Ninjas in Pyjamas,FunPlus Phoenix,1,4.0,0.0,1.0,18.0,13,2.0,2.0,8.0,11.0,10
14879,2651,1746,Bind,3,628,Ninjas in Pyjamas,FunPlus Phoenix,2,3.0,2.0,4.0,13.0,9,3.0,1.0,3.0,15.0,13
14880,2736,1833,Ascent,104,204,REJECT,CYCLOPS athlete gaming,1,,,,,13,,,,,6
14881,2737,1833,Bind,104,204,REJECT,CYCLOPS athlete gaming,1,,,,,13,,,,,6
14882,2703,1798,Haven,249,639,Falkol eSports,no org,1,,,,,13,,,,,9
14883,2750,1845,Ascent,204,280,CYCLOPS athlete gaming,LAG Gaming,1,,,,,13,,,,,9
14884,2751,1845,Haven,204,280,CYCLOPS athlete gaming,LAG Gaming,1,,,,,13,,,,,8
14885,2644,1743,Ascent,257,547,G2 Esports,ex-Giants Gaming,2,3.0,1.0,7.0,11.0,9,3.0,2.0,2.0,15.0,13
14886,2645,1743,Haven,257,547,G2 Esports,ex-Giants Gaming,1,4.0,1.0,3.0,26.0,18,2.0,2.0,6.0,24.0,16
14887,2642,1742,Bind,628,397,FunPlus Phoenix,BBL Esports,1,2.0,0.0,5.0,13.0,13,4.0,2.0,5.0,9.0,7
14888,2643,1742,Haven,628,397,FunPlus Phoenix,BBL Esports,1,2.0,0.0,3.0,10.0,13,3.0,2.0,7.0,3.0,2
14889,2640,1741,Ascent,257,3,G2 Esports,Ninjas in Pyjamas,1,3.0,1.0,6.0,14.0,13,3.0,2.0,4.0,15.0,11
14890,2641,1741,Bind,257,3,G2 Esports,Ninjas in Pyjamas,1,3.0,0.0,3.0,15.0,13,3.0,2.0,5.0,11.0,8
14893,2127,1347,Haven,497,280,Attack All Around,LAG Gaming,1,,,,,13,,,,,12
14894,2126,1346,Haven,496,501,ahq e-Sports Club,LEGENDs,1,,,,,13,,,,,7
14895,2696,1795,Haven,635,634,Hazmat.gg,30% BF,1,2.0,2.0,3.0,19.0,14,4.0,3.0,3.0,16.0,12
14896,2693,1792,Bind,636,635,DETONA Gaming,Hazmat.gg,1,2.0,1.0,4.0,14.0,13,4.0,2.0,3.0,12.0,8
14898,2676,1770,Bind,567,614,VAC Kimchi,T1 Korea,1,,,,,13,,,,,6
14899,2677,1770,Split,567,614,VAC Kimchi,T1 Korea,1,,,,,13,,,,,11
14900,2622,1729,Haven,474,628,Team Liquid,FunPlus Phoenix,1,2.0,2.0,9.0,11.0,13,4.0,1.0,1.0,18.0,11
14901,2623,1729,Bind,474,628,Team Liquid,FunPlus Phoenix,2,3.0,2.0,2.0,19.0,12,4.0,1.0,8.0,13.0,14
14902,2620,1728,Haven,257,397,G2 Esports,BBL Esports,1,4.0,1.0,2.0,16.0,13,2.0,2.0,5.0,14.0,10
14903,2621,1728,Ascent,257,397,G2 Esports,BBL Esports,1,2.0,3.0,3.0,14.0,13,3.0,2.0,4.0,13.0,9
14906,2513,1634,Bind,2,103,Sentinels,Immortals,1,,,,,13,,,,,9
14907,2514,1634,Split,2,103,Sentinels,Immortals,1,,,,,13,,,,,5
14908,2613,1722,Split,110,355,FishkaVTom,Lankräm,1,3.0,3.0,3.0,17.0,14,3.0,0.0,5.0,18.0,12
14909,2614,1722,Ascent,110,355,FishkaVTom,Lankräm,1,2.0,3.0,4.0,14.0,13,4.0,1.0,5.0,13.0,10
14910,2592,1715,Haven,397,377,BBL Esports,bonk,1,3.0,1.0,6.0,16.0,14,3.0,1.0,6.0,16.0,12
14911,2593,1715,Ascent,397,377,BBL Esports,bonk,1,3.0,2.0,6.0,15.0,14,3.0,2.0,4.0,17.0,12
14912,2607,1720,Bind,477,355,looking4org,Lankräm,2,4.0,1.0,6.0,10.0,8,4.0,0.0,0.0,17.0,13
14913,2609,1720,Ascent,477,355,looking4org,Lankräm,2,4.0,3.0,0.0,15.0,9,2.0,1.0,5.0,14.0,13
14914,2608,1720,Split,477,355,looking4org,Lankräm,1,3.0,2.0,8.0,11.0,13,4.0,1.0,1.0,18.0,11
14915,2610,1721,Haven,110,529,FishkaVTom,Rix.GG,1,3.0,1.0,6.0,16.0,14,3.0,2.0,3.0,18.0,12
14916,2611,1721,Ascent,110,529,FishkaVTom,Rix.GG,2,4.0,1.0,4.0,11.0,7,2.0,1.0,5.0,12.0,13
14917,2612,1721,Split,110,529,FishkaVTom,Rix.GG,1,3.0,1.0,2.0,12.0,13,3.0,2.0,4.0,9.0,5
14918,2510,1633,Bind,103,17,Immortals,Gen.G,1,,,,,13,,,,,6
14919,2511,1633,Split,103,17,Immortals,Gen.G,1,,,,,13,,,,,4
14920,2529,1650,Haven,520,582,Virtue Gaming,Peaky Blankers,1,,,,,13,,,,,1
14921,2531,1652,Bind,526,583,FAKEZIN,Furacão RED,1,,,,,13,,,,,7
14922,2501,1630,Ascent,103,188,Immortals,Cloud9,2,,,,,13,,,,,15
14923,2502,1630,Bind,103,188,Immortals,Cloud9,1,,,,,13,,,,,5
14924,2503,1630,Haven,103,188,Immortals,Cloud9,1,,,,,13,,,,,10
14925,2495,1628,Haven,106,103,TSM,Immortals,1,,,,,13,,,,,5
14926,2496,1628,Ascent,106,103,TSM,Immortals,1,,,,,13,,,,,4
14927,2498,1629,Split,2,427,Sentinels,Envy,2,,,,,10,,,,,13
14928,2499,1629,Ascent,2,427,Sentinels,Envy,1,,,,,13,,,,,7
14929,2500,1629,Bind,2,427,Sentinels,Envy,1,,,,,13,,,,,10
14930,2534,1656,Bind,610,655,ZyppanGoKill,Project SW,1,2.0,0.0,2.0,10.0,13,3.0,2.0,2.0,7.0,1
14931,2535,1656,Split,610,655,ZyppanGoKill,Project SW,2,2.0,2.0,6.0,18.0,13,3.0,2.0,6.0,17.0,15
14932,2536,1656,Haven,610,655,ZyppanGoKill,Project SW,1,3.0,3.0,3.0,15.0,13,3.0,2.0,5.0,14.0,11
14933,2492,1627,Haven,188,337,Cloud9,FaZe Clan,2,,,,,3,,,,,13
14934,2493,1627,Ascent,188,337,Cloud9,FaZe Clan,1,,,,,13,,,,,8
14935,2494,1627,Split,188,337,Cloud9,FaZe Clan,1,,,,,13,,,,,8
