No,MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
1409,40478,2021-09-24 07:30:00,Patch 3.06,450,Strike Arabia Championship: Finals,Main Event: Lower Bracket Round 2,1464,1470,YaLLa Esports,NASR Esports,1,2
1410,40479,2021-09-23 17:30:00,Patch 3.06,450,Strike Arabia Championship: Finals,Main Event: Lower Bracket Round 2,1592,1466,Fox Gaming,Anubis Gaming,1,2
1411,40474,2021-09-23 16:30:00,Patch 3.06,450,Strike Arabia Championship: Finals,Main Event: Upper Bracket Semifinals,1471,1464,Team RA'AD,YaLLa Esports,2,0
1412,41842,2021-09-23 12:55:00,Patch 3.05,682,LVP Rising Series #4,Spanish Qualifier: Round of 16,2304,6292,Giants Gaming,Souldazz,2,0
1414,41848,2021-09-23 12:30:00,Patch 3.05,682,LVP Rising Series #4,Spanish Qualifier: Round of 16,6139,6266,19esports,Team Focus,2,0
1415,41847,2021-09-23 11:00:00,Patch 3.05,682,LVP Rising Series #4,Spanish Qualifier: Round of 16,4621,6270,Crypto Esports,Spain+China+Africa,2,0
1416,40476,2021-09-23 09:00:00,Patch 3.06,450,Strike Arabia Championship: Finals,Main Event: Lower Bracket Round 1,6193,1470,Geekay Esports,NASR Esports,1,2
1417,41974,2021-09-23 02:40:00,,684,Predator Esports Circuit,Group Stage: Group B,6199,3504,Team Secret,DR Esports,1,0
1418,41973,2021-09-23 01:20:00,,684,Predator Esports Circuit,Group Stage: Group B,3504,4891,DR Esports,SV Empire,1,0
1419,40471,2021-09-22 16:00:00,Patch 3.06,450,Strike Arabia Championship: Finals,Main Event: Upper Bracket Quarterfinals,1471,1466,Team RA'AD,Anubis Gaming,2,1
1420,41846,2021-09-22 13:30:00,Patch 3.05,682,LVP Rising Series #4,Spanish Qualifier: Round of 16,4527,6194,SUPRMODE Gaming,Wizards Club,2,0
1421,41845,2021-09-22 13:05:00,Patch 3.05,682,LVP Rising Series #4,Spanish Qualifier: Round of 16,4616,6195,UCAM Esports Club,Team Galaga,2,0
1422,41843,2021-09-22 11:00:00,Patch 3.05,682,LVP Rising Series #4,Spanish Qualifier: Round of 16,3821,6134,TOOOLS esports,Einheit,2,1
1423,22011,2021-09-21 18:00:00,Patch 3.05,531,Liga Movistar - Fibra Pro Shot,Playoffs: Bronze Final,4836,2354,Wanderers Esports,Movistar Optix,3,1
1424,40081,2021-09-21 04:30:00,Patch 3.05,631,LPL Winter Cup Legends 2021,Playoffs: Semifinals,4963,6126,PEACE,Legacy Esports,2,1
1427,34974,2021-09-17 16:55:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Playoffs: Quarterfinals,427,2,Envy,Sentinels,2,0
1429,34976,2021-09-17 10:35:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Playoffs: Quarterfinals,257,2355,G2 Esports,KRÜ Esports,2,0
1431,35943,2021-09-16 16:05:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Group D,2,1670,Sentinels,F4Q,2,1
1432,34966,2021-09-16 13:15:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Decider (C),682,277,Gambit Esports,Crazy Raccoon,2,0
1434,41329,2021-09-15 17:00:00,Patch 3.05,679,Circuito Tormenta: Liga Radiante S1,Regular Season : Regular Season ,3724,6239,NEBULAA,RVNS Esports,1,0
1435,41328,2021-09-15 16:00:00,Patch 3.05,679,Circuito Tormenta: Liga Radiante S1,Regular Season : Regular Season ,6195,6201,Team Galaga,UnderDogs Gaming,1,0
1436,34963,2021-09-15 15:50:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Decider (B),2355,4894,KRÜ Esports,Keyd Stars,2,0
1437,41327,2021-09-15 15:00:00,Patch 3.05,679,Circuito Tormenta: Liga Radiante S1,Regular Season : Regular Season ,6134,6194,Einheit,Wizards Club,1,0
1439,34959,2021-09-15 09:00:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Elimination (A),624,4567,Paper Rex,SuperMassive Blaze,1,2
1440,34965,2021-09-14 14:15:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Elimination (C),277,581,Crazy Raccoon,Liberty ,2,0
1441,34962,2021-09-14 11:50:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Elimination (B),4894,5448,Keyd Stars,ZETA DIVISION,2,0
1442,30878,2021-09-14 04:30:00,Patch 3.02,631,LPL Winter Cup Legends 2021,Group Stage: Round 7,6192,6126,Trident Esports,Legacy Esports,2,1
1443,22008,2021-09-13 18:10:00,Patch 3.05,531,Liga Movistar - Fibra Pro Shot,Playoffs: Semifinals,719,4836,Australs,Wanderers Esports,3,1
1445,34961,2021-09-13 09:00:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Winner's (B),427,2355,Envy,KRÜ Esports,2,0
1446,34964,2021-09-12 16:35:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Winner's (C),682,120,Gambit Esports,100 Thieves,1,2
1447,35939,2021-09-12 12:50:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Group D,2,257,Sentinels,G2 Esports,2,1
1448,34950,2021-09-12 09:00:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Opening (B),2355,5448,KRÜ Esports,ZETA DIVISION,2,1
1449,33855,2021-09-12 01:30:00,Patch 3.03,649,Oceania Tour: Championship,Main Event: Grand Final,1208,4963,ORDER,PEACE,3,2
1450,37139,2021-09-11 18:55:00,Patch 3.05,668,BoomTV Proving Grounds - Finals,Playoffs: Quarterfinals,103,2350,Immortals,Soniqs,1,2
1451,37141,2021-09-11 18:55:00,Patch 3.05,668,BoomTV Proving Grounds - Finals,Playoffs: Quarterfinals,470,6144,Complexity,The Mafia,2,0
1452,37142,2021-09-11 18:55:00,Patch 3.05,668,BoomTV Proving Grounds - Finals,Playoffs: Quarterfinals,4315,468,Squirtle Squad,Renegades,2,0
1453,34951,2021-09-11 12:00:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Opening (C),682,277,Gambit Esports,Crazy Raccoon,2,0
1454,34947,2021-09-11 09:00:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Opening (A),198,624,DRX Vision Strikers,Paper Rex,2,0
1455,33861,2021-09-11 04:00:00,Patch 3.03,649,Oceania Tour: Championship,Main Event: Lower Final,4036,4963,Team Bliss,PEACE,1,2
1456,33854,2021-09-11 01:30:00,Patch 3.03,649,Oceania Tour: Championship,Main Event: Upper Final,1208,4036,ORDER,Team Bliss,2,0
1457,34952,2021-09-10 15:50:00,Patch 3.04,466,Valorant Champions Tour Stage 3: Masters Berlin,Group Stage: Opening (C),120,581,100 Thieves,Liberty ,2,0
1459,33859,2021-09-10 08:00:00,Patch 3.03,649,Oceania Tour: Championship,Main Event: Lower Round 2,4963,1323,PEACE,Nebula,2,1
1460,33858,2021-09-10 04:30:00,Patch 3.03,649,Oceania Tour: Championship,Main Event: Lower Round 2,1696,6126,Wildcard Gaming,Legacy Esports,2,1
1461,33857,2021-09-09 07:00:00,Patch 3.03,649,Oceania Tour: Championship,Main Event: Lower Round 1,1323,591,Nebula,Mindfreak,2,0
1462,33852,2021-09-09 04:30:00,Patch 3.03,649,Oceania Tour: Championship,Main Event: Upper Semifinals,1208,4963,ORDER,PEACE,2,0
1463,31404,2021-09-08 11:00:00,Patch 3.02,638,The Esports Club Gauntlet - Season 2,Group Stage: Group A,1033,799,Reckoning Esports,Velocity Gaming,2,0
1467,33850,2021-09-08 04:30:00,Patch 3.03,649,Oceania Tour: Championship,Main Event: Upper Quarterfinals,1696,1323,Wildcard Gaming,Nebula,2,0
1468,31431,2021-09-07 11:00:00,Patch 3.02,638,The Esports Club Gauntlet - Season 2,Group Stage: Group B,918,6003,Global Esports,Team XO,2,0
1469,35265,2021-09-07 11:00:00,Patch 3.04,650,LVP Rising Series #3,Playoffs: Grand Final,2304,4663,Giants Gaming,TENSTAR,3,0
1470,35264,2021-09-06 12:45:00,Patch 3.04,650,LVP Rising Series #3,Playoffs: Semifinals,4663,2593,TENSTAR,Fnatic,2,1
